lemma,lynkr
abandonner,abnaras
abdiquer,abdakrias
abolir,abonehras
aboutir,abountias
aboyer,abbohyas
absoudre,absaardas
accepter,kseamas
accomplir,akhleas
accorder,oalkyas
acculer,sdahrmas
acheter,vlassas
achever,akkardas
acquérir,akvras
adjoindre,hadlehas
adorer,thyeleas
afficher,ahrvrèlas
affronter,erylfohas
agir,byrras
aider,aehmylas
aimer,rhynas
alarmer,srystas
aller,valras
aménager,am'nylas
angoisser,ahngtas
aplatir,pahlmtas
appeler,vremas
apporter,ahpehrtyas
apprendre,redutas
archiver,aerhfirljas
arpenter,arpahrkas
arracher,kudvlryhleas
arrêter,stryarpas
arriver,ahlvras
attaquer,kuukhyras
attendre,altaas
augmenter,agtohras
avoir,avras
baisser,byehas
bannir,kyrlesas
battre,bahjtras
blesser,veryhleas
boire,khyumas
bourdonner,vrryltas
briller,bryhlras
briser,deskhyas
brûler,kahnfhyras
cacher,eskharas
calculer,cosielhas
calmer,hysohmas
casser,deskhyas
changer,merrheas
chanter,siengas
chasser,brohnas
cheminer,vaehmyas
chercher,jluieas
choisir,cyrthas
choquer,kohnkas
coincer,koyhlras
colérer,korhas
commencer,emphezas
comprendre,koliehmnas
condamner,forielas
conforter,kohntas
connaître,kahfryas
conseiller,kaldehsas
consommer,kyuhtas
construire,miyleas
contenter,myentas
continuer,ctahrjas
corrompre,kraompras
couper,kudyhleas
courir,rhoenas
coûter,dinekas
craindre,gralinas
craqueler,kraakthas
créer,kräas
creuser,trombpahlras
crier,brâkpaalas
croire,jraare
croitre,m'praahvas
cultiver,kuyldenas
damner,mortijhas
déchaîner,fra-chrynas
décider,oerhjas
découvrir,tidadeas
décrire,dehkrinias
dégrader,frarhandas
délivrer,dlyhbas
demander,aesdas
descendre,dystroas
dessiner,esthras
déterminer,diehtyas
détruire,deskas
devenir,akrylas
devoir,devas
dévorer,dhakyuas
dévouer,devnehas
diminuer,demtohras
dire,rhoas
disposer,dispohras
donner,derkhas
dormir,sohmyas
douter,dubohas
durer,daras
éclairer,ynklemas
éclater,ylktyas
économiser,ézehltas
écouter,hyrehmas
écrire,ekrinias
effacer,zimmas
égaler,drohas
élever,reduhtas
éloigner,ahferyhmas
emmener,yrmbroas
empoisonner,pylstrhas
enchaîner,yr-chrynas
enchanter,calmuras
ennuyer,kribaaldas
enrager,yrmkoarhas
entendre,hiyras
entourer,enbahtlas
entraider,ahnaehmyas
entrer,atras
envahir,yrmvtaras
envoyer,telyhjtras
équilibrer,andohas
errer,ehpahrkas
espérer,embras
éteindre,fraluhkas
être,eséas
étudier,yntlehpas
éveiller,vryaamtlas
éviter,dauhrias
excuser,ezhras
exister,ekséas
expirer,ystaehlas
explorer,aksplaoras
exprimer,ystahlas
faiblir,faaryas
faire,farkas
falloir,falharas
faner,fyrmhortias
fauter,falskas
fendre,fathryas
fermer,klaahsras
finir,fanahras
flâner,flyehmas
fondre,myjmaÿnas
forcer,pavlrhas
forger,flyrghlas
former,freharras
fournir,faehnas
fragmenter,yrfgrehas
fraterniser,fryestas
fumer,fyntas
gagner,gnaras
garder,hyrmeräas
geler,myjlyas
givrer,myjhnas
goûter,glyeerhtas
goutter,plahmas
grader,rhandas
grandir,gheryehtas
griffer,fraahmtas
guérir,virvilas
guetter,gyerjhtas
guider,gryehmas
habiter,vyrvlas
haïr,hrothas
hocher,bahlbtas
hurler,hoarhlas
idéaliser,idhrejas
illuminer,luhkserhas
imaginer,remahnlyas
immoler,fhyrnilas
implorer,emplyhjras
imposer,pohzpodas
inspirer,ilaehlas
inventer,inkraeras
invoquer,aavokyas
joindre,kohtas
jouir,jyehmas
lâcher,landremas
laisser,vryjhas
léguer,nryadrakräas
libérer,lyyhbas
lire,drylas
luire,luhkras
lutter,rohmnas
manger,khyudas
marcher,pahrkas
maudire,kraaylas
méditer,ameryhlas
menacer,mlarthyas
ménager,m'nylas
mener,broas
mentir,sahtnas
mettre,myrrhas
montrer,mestas
murmurer,soehltas
naître,njaarlyas
nommer,frenyas
nourrir,voëdyras
obéir,esclas
observer,vrÿumdimlas
obtenir,ohkemeras
occuper,ohkyas
offrir,sinvas
ordiner,syhnkryäas
ordonner,oerhdräas
oublier,oebnarhas
ouvrir,ouahsras
parcourir,phoenas
parfaire,pajhtrejas
parler,paalhebras
partir,drejneras
passer,fraas
payer,ptyhras
penser,bensiras
percer,trehalnas
perdre,plehmtyas
perdurer,plyerthas
permettre,klyethas
persévérer,kyhpgoas
piquer,pyrkas
placer,mekhyras
plaire,tyehas
pleurer,palyeras
polir,paalythras
porter,pehrtyas
poser,pyhas
posséder,podas
pourrir,pekelas
poursuivre,pejtahrlyas
pouvoir,pynkras
prêcher,pryehmas
prédire,pryj-rhoas
préférer,myehehmas
prendre,krheylas
prétexter,partahnas
prévoir,ahnvryas
prier,synohas
procurer,pahrkyas
progresser,pravyhjas
promettre,pahreylas
promulguer,porhmalas
proposer,ohrpyhas
protéger,krehltas
prouver,porhjeas
purger,bonttrehas
purifier,myhktras
questionner,quityehjas
quitter,fraépryas
rafraîchir,myljtas
raisonner,behnsas
ramener,rembroas
rater,ahratas
rayonner,lyèhltras
réaliser,rehlyas
rechercher,rem-nrykraeas
